time_hours,T_stable_K,t_cool_s,sigma_T_K,group_id
0,76.66628799,292.8489284,0.346237003,0
10,76.76008946,292.8749061,0.349900128,0
20,76.85230081,292.9009577,0.353563254,0
30,76.942949,292.9270835,0.357226379,0
40,77.03206053,292.9532837,0.360889505,0
50,77.11966145,292.9795587,0.36455263,0
60,77.20577736,293.0059085,0.368215756,0
70,77.29043343,293.0323335,0.371878881,0
80,77.37365443,293.0588339,0.375542007,0
90,77.45546466,293.08541,0.379205132,0
100,77.53588805,293.1120619,0.382868258,0
110,77.61494811,293.13879,0.386531383,0
120,77.69266795,293.1655944,0.390194509,0
130,77.76907029,293.1924755,0.393857634,0
140,77.84417745,293.2194335,0.39752076,0
150,77.91801141,293.2464686,0.401183885,0
160,77.99059373,293.2735811,0.404847011,0
170,78.06194565,293.3007712,0.408510136,0
180,78.13208801,293.3280392,0.412173262,0
190,78.20104132,293.3553853,0.415836387,0
200,78.26882574,293.3828099,0.419499512,0
210,78.33546108,293.410313,0.423162638,0
220,78.40096683,293.4378951,0.426825763,0
230,78.46536212,293.4655563,0.430488889,0
240,78.52866579,293.4932969,0.434152014,0
250,78.59089634,293.5211172,0.43781514,0
260,78.65207196,293.5490174,0.441478265,0
270,78.71221053,293.5769978,0.445141391,0
280,78.77132964,293.6050586,0.448804516,0
290,78.82944656,293.6332001,0.452467642,0
300,78.88657829,293.6614226,0.456130767,0
310,78.94274153,293.6897263,0.459793893,0
320,78.99795269,293.7181115,0.463457018,0
330,79.05222791,293.7465785,0.467120144,0
340,79.10558307,293.7751275,0.470783269,0
350,79.15803375,293.8037587,0.474446395,0
360,79.20959529,293.8324726,0.47810952,0
370,79.26028276,293.8612692,0.481772646,0
380,79.31011098,293.8901489,0.485435771,0
390,79.35909451,293.919112,0.489098897,0
400,79.40724768,293.9481587,0.492762022,0
410,79.45458456,293.9772893,0.496425147,0
420,79.50111898,294.0065041,0.500088273,0
430,79.54686456,294.0358033,0.503751398,0
440,79.59183466,294.0651872,0.507414524,0
450,79.63604243,294.0946561,0.511077649,0
460,79.6795008,294.1242103,0.514740775,0
470,79.72222246,294.1538501,0.5184039,0
480,79.7642199,294.1835756,0.522067026,0
490,79.80550541,294.2133872,0.525730151,0
500,79.84609104,294.2432853,0.529393277,0
510,79.88598867,294.2732699,0.533056402,0
520,79.92520996,294.3033415,0.536719528,0
530,79.96376637,294.3335004,0.540382653,0
540,80.00166918,294.3637467,0.544045779,0
550,80.03892946,294.3940808,0.547708904,0
560,80.0755581,294.424503,0.55137203,0
570,80.11156582,294.4550135,0.555035155,0
580,80.14696314,294.4856127,0.558698281,0
590,80.1817604,294.5163008,0.562361406,0
600,80.21596779,294.5470781,0.566024531,0
610,80.24959529,294.5779449,0.569687657,0
620,80.28265274,294.6089015,0.573350782,0
630,80.3151498,294.6399482,0.577013908,0
640,80.34709598,294.6710853,0.580677033,0
650,80.3785006,294.7023131,0.584340159,0
660,80.40937286,294.7336318,0.588003284,0
670,80.43972177,294.7650418,0.59166641,0
680,80.4695562,294.7965433,0.595329535,0
690,80.49888489,294.8281367,0.598992661,0
700,80.5277164,294.8598222,0.602655786,0
710,80.55605915,294.8916002,0.606318912,0
720,80.58392144,294.9234709,0.609982037,0
730,80.61131142,294.9554346,0.613645163,0
740,80.63823708,294.9874918,0.617308288,0
750,80.66470629,295.0196425,0.620971414,0
760,80.69072681,295.0518873,0.624634539,0
770,80.71630622,295.0842262,0.628297665,0
780,80.74145201,295.1166598,0.63196079,0
790,80.76617154,295.1491882,0.635623916,0
800,80.79047202,295.1818118,0.639287041,0
810,80.81436055,295.2145309,0.642950166,0
820,80.83784414,295.2473458,0.646613292,0
830,80.86092963,295.2802568,0.650276417,0
840,80.88362377,295.3132642,0.653939543,0
850,80.90593321,295.3463683,0.657602668,0
860,80.92786446,295.3795695,0.661265794,0
870,80.94942393,295.412868,0.664928919,0
880,80.97061792,295.4462642,0.668592045,0
890,80.99145264,295.4797584,0.67225517,0
900,81.01193416,295.513351,0.675918296,0
910,81.03206849,295.5470421,0.679581421,0
920,81.0518615,295.5808322,0.683244547,0
930,81.07131898,295.6147215,0.686907672,0
940,81.09044662,295.6487105,0.690570798,0
950,81.10925,295.6827993,0.694233923,0
960,81.12773464,295.7169884,0.697897049,0
970,81.14590592,295.7512781,0.701560174,0
980,81.16376916,295.7856686,0.7052233,0
990,81.18132959,295.8201603,0.708886425,0
1000,81.19859233,295.8547536,0.71254955,0
1010,81.21556244,295.8894488,0.716212676,0
1020,81.23224487,295.9242461,0.719875801,0
1030,81.2486445,295.959146,0.723538927,0
1040,81.26476613,295.9941488,0.727202052,0
1050,81.28061446,296.0292547,0.730865178,0
1060,81.29619413,296.0644642,0.734528303,0
1070,81.3115097,296.0997775,0.738191429,0
1080,81.32656564,296.1351951,0.741854554,0
1090,81.34136635,296.1707172,0.74551768,0
1100,81.35591616,296.2063441,0.749180805,0
1110,81.37021932,296.2420763,0.752843931,0
1120,81.38428002,296.2779141,0.756507056,0
1130,81.39810236,296.3138577,0.760170182,0
1140,81.41169038,296.3499076,0.763833307,0
1150,81.42504806,296.3860641,0.767496433,0
1160,81.4381793,296.4223275,0.771159558,0
