unit,cycle,day,fault_mode,severity_level,avg_detectivity,NETD_mK,SiTF,signal_gain,read_noise_index,label
IRCLT-0581,1,0,coupled_severe_fault,severe,21845793366.1772,16.826571719652232,1.0090345663219082,1.0090345663219082,1.0032752313666349,coupled_severe_fault
IRCLT-0581,2,3,coupled_severe_fault,severe,21915718664.296165,16.55275878367427,1.0431395450344545,1.0431395450344545,0.9837358299831898,coupled_severe_fault
IRCLT-0581,3,8,coupled_severe_fault,severe,20221741253.277832,16.697789284279768,1.002984200908564,1.002984200908564,1.0194816450142905,coupled_severe_fault
IRCLT-0581,4,13,coupled_severe_fault,severe,22531289671.3291,16.09357964551386,1.006877871404241,1.006877871404241,1.0102997894961017,coupled_severe_fault
IRCLT-0581,5,16,coupled_severe_fault,severe,21806374815.25836,16.518728184170683,0.9955161838007706,0.9955161838007706,1.02408267051403,coupled_severe_fault
IRCLT-0581,6,21,coupled_severe_fault,severe,22690420774.5671,17.864193510559204,0.9728949176437728,0.9728949176437728,1.0390170968048695,coupled_severe_fault
IRCLT-0581,7,24,coupled_severe_fault,severe,20238370746.973534,17.50152522810791,0.95341351446486,0.95341351446486,1.0552950236949827,coupled_severe_fault
IRCLT-0581,8,29,coupled_severe_fault,severe,21180105188.71484,17.0495458049602,0.9535933013432192,0.9535933013432192,1.0538141804850163,coupled_severe_fault
IRCLT-0581,9,31,coupled_severe_fault,severe,21389513624.438465,18.15811006023851,0.977223785057615,0.977223785057615,1.0521240156476237,coupled_severe_fault
IRCLT-0581,10,36,coupled_severe_fault,severe,20778186166.263325,18.1253708842272,0.964050118599838,0.964050118599838,1.0702373313630742,coupled_severe_fault
IRCLT-0581,11,39,coupled_severe_fault,severe,19968562123.285248,18.061431976768777,0.9804384621902998,0.9804384621902998,1.060526005447059,coupled_severe_fault
IRCLT-0581,12,40,coupled_severe_fault,severe,20036022007.79169,18.75884049994161,0.959961097302686,0.959961097302686,1.0943008746555642,coupled_severe_fault
IRCLT-0581,13,42,coupled_severe_fault,severe,19482223639.35516,18.154695604682978,0.9608508492609298,0.9608508492609298,1.0595987931667703,coupled_severe_fault
IRCLT-0581,14,43,coupled_severe_fault,severe,22492882149.600067,18.47512475977043,0.9383540564019412,0.9383540564019412,1.0991823399602072,coupled_severe_fault
IRCLT-0581,15,47,coupled_severe_fault,severe,19987831671.516266,18.521618473207106,0.9315196708399484,0.9315196708399484,1.091746868500481,coupled_severe_fault
