hours,group_01,group_02,group_03,group_04,group_05,group_06,group_07,group_08,group_09,group_10,group_11,group_12
0,0.030993,0.028531,0.028928,0.026608,0.021243,0.026899,0.020128,0.024036,0.027177,0.044329,0.042693,0.047528
10,0.026568,0.026639,0.030532,0.032817,0.028833,0.029746,0.018878,0.022852,0.031127,0.029492,0.041479,0.042091
20,0.032046,0.03241,0.028833,0.025072,0.028363,0.025645,0.017554,0.02681,0.031219,0.033355,0.039065,0.04785
30,0.035579,0.028816,0.031248,0.029339,0.030086,0.023596,0.015835,0.028601,0.029267,0.039758,0.041381,0.050581
40,0.034864,0.025655,0.022594,0.036097,0.031313,0.03057,0.013318,0.032878,0.031866,0.033753,0.040277,0.047768
50,0.035187,0.032142,0.028581,0.037076,0.032266,0.029867,0.017814,0.035294,0.032194,0.03845,0.032788,0.051162
60,0.033773,0.035688,0.025107,0.03195,0.037865,0.024383,0.021349,0.042326,0.033012,0.038423,0.039869,0.050692
70,0.038668,0.036122,0.022603,0.038561,0.028415,0.023295,0.020759,0.027448,0.028624,0.039346,0.040205,0.042065
80,0.043135,0.034499,0.021993,0.037019,0.031957,0.024282,0.027907,0.025584,0.031947,0.037078,0.038465,0.049518
90,0.040063,0.03774,0.020261,0.029552,0.02962,0.024637,0.02747,0.02945,0.035752,0.036701,0.032496,0.040454
100,0.041453,0.034049,0.022401,0.031526,0.032846,0.022756,0.027621,0.030493,0.034976,0.047136,0.03964,0.043739
110,0.041536,0.036772,0.019599,0.035701,0.038581,0.01905,0.024594,0.033282,0.035098,0.037615,0.034834,0.04156
120,0.041307,0.044743,0.021928,0.032877,0.037343,0.020221,0.027389,0.034394,0.033583,0.036988,0.040153,0.037471
130,0.044747,0.042038,0.019641,0.034709,0.0324,0.018948,0.029766,0.032892,0.039686,0.033834,0.041168,0.044236
140,0.047766,0.045474,0.02318,0.031158,0.032833,0.019899,0.027844,0.029144,0.0394,0.039332,0.043393,0.039439
150,0.04633,0.045881,0.021783,0.039753,0.033167,0.020319,0.030206,0.024584,0.035995,0.040383,0.038511,0.042687
160,0.040973,0.047563,0.017708,0.030304,0.039056,0.019441,0.025932,0.025538,0.035106,0.033798,0.044283,0.044201
170,0.037554,0.046997,0.018699,0.027335,0.038834,0.022084,0.030407,0.02992,0.035267,0.034408,0.041383,0.04126
180,0.041103,0.049365,0.018362,0.036458,0.042125,0.021101,0.030188,0.030069,0.03408,0.029982,0.04477,0.041488
190,0.042504,0.048917,0.024089,0.037214,0.037098,0.026958,0.030239,0.035407,0.030718,0.028446,0.038243,0.038868
200,0.040501,0.052797,0.023291,0.042075,0.042324,0.024928,0.02849,0.038701,0.034042,0.035952,0.04364,0.045362
210,0.03748,0.050787,0.022166,0.04136,0.041956,0.023674,0.026989,0.039634,0.027268,0.028266,0.034745,0.044916
220,0.040966,0.053524,0.024347,0.044784,0.043432,0.025956,0.024323,0.030581,0.031844,0.032508,0.042292,0.042856
230,0.033927,0.04585,0.024247,0.036579,0.051284,0.031479,0.035454,0.033678,0.027473,0.030112,0.041655,0.04254
240,0.042046,0.05032,0.024839,0.040128,0.039014,0.029547,0.02771,0.03218,0.035108,0.032627,0.040875,0.046251
250,0.040481,0.044397,0.025137,0.039001,0.042955,0.032745,0.027956,0.032936,0.033051,0.027662,0.038195,0.039115
260,0.042862,0.050284,0.023167,0.03947,0.043245,0.032325,0.036641,0.034799,0.036681,0.033773,0.033961,0.042262
270,0.040133,0.040201,0.025852,0.042976,0.048417,0.028286,0.030487,0.037082,0.035663,0.035376,0.03876,0.046512
280,0.039556,0.04762,0.022293,0.030438,0.044215,0.03184,0.033617,0.038752,0.034351,0.033383,0.032987,0.036098
290,0.037459,0.042833,0.022499,0.041428,0.049878,0.034285,0.038621,0.032704,0.033479,0.029474,0.032335,0.037961
300,0.050509,0.04524,0.01967,0.041764,0.045575,0.027991,0.034829,0.030298,0.045299,0.033656,0.033487,0.041365
310,0.044103,0.045717,0.018165,0.034622,0.044899,0.026398,0.034091,0.022422,0.036834,0.035269,0.03286,0.041257
320,0.04495,0.048929,0.023927,0.036639,0.042705,0.032017,0.035283,0.031935,0.03686,0.032437,0.039152,0.039395
330,0.044611,0.052856,0.018713,0.033759,0.045287,0.028208,0.03583,0.030531,0.045597,0.039783,0.039404,0.034667
340,0.046286,0.052929,0.022478,0.033153,0.036406,0.029778,0.038006,0.029223,0.046104,0.041977,0.043816,0.037029
350,0.043723,0.053022,0.022241,0.039117,0.044193,0.03096,0.037341,0.023538,0.038198,0.030528,0.043468,0.0418
360,0.041896,0.055077,0.025831,0.035003,0.046626,0.027414,0.029699,0.017358,0.039773,0.035405,0.040435,0.034155
370,0.039604,0.049334,0.029028,0.043503,0.047885,0.032064,0.034416,0.024662,0.037773,0.03484,0.03434,0.037557
380,0.040592,0.052279,0.028973,0.039441,0.053545,0.034368,0.031423,0.027676,0.04079,0.039751,0.037717,0.038532
390,0.040526,0.054467,0.031275,0.033945,0.045344,0.031464,0.034078,0.032906,0.039831,0.030432,0.044353,0.041533
400,0.038204,0.042716,0.033276,0.041392,0.044916,0.037924,0.030985,0.022066,0.033953,0.038238,0.039506,0.036053
410,0.038624,0.051278,0.031652,0.045806,0.04754,0.031124,0.031558,0.031864,0.040461,0.03233,0.038859,0.04497
420,0.034716,0.043346,0.032577,0.039208,0.049324,0.042316,0.030844,0.024416,0.043675,0.029929,0.033131,0.040163
430,0.040576,0.045777,0.032986,0.0377,0.046315,0.033067,0.031905,0.034089,0.040003,0.028022,0.043632,0.048036
440,0.038942,0.045496,0.033679,0.044025,0.051398,0.040629,0.025192,0.023826,0.042716,0.03764,0.041797,0.038433
450,0.043363,0.040599,0.033252,0.031451,0.053249,0.033312,0.03126,0.024692,0.040952,0.028206,0.040903,0.050281
460,0.029095,0.050809,0.032721,0.041118,0.050876,0.035937,0.03346,0.039239,0.044935,0.03952,0.03833,0.040654
470,0.03537,0.041434,0.033475,0.034242,0.047228,0.039278,0.030696,0.033188,0.036292,0.033107,0.033341,0.041248
480,0.037878,0.043445,0.030677,0.042976,0.043636,0.041458,0.036927,0.022555,0.040682,0.041258,0.043567,0.046943
490,0.045098,0.044801,0.03379,0.036508,0.046948,0.048633,0.029154,0.025964,0.044939,0.034095,0.044536,0.048622
500,0.044624,0.048582,0.032511,0.036778,0.043768,0.02543,0.029729,0.02827,0.047153,0.046996,0.041051,0.036881
510,0.045984,0.048563,0.033657,0.027527,0.046021,0.034609,0.035237,0.024888,0.045926,0.04097,0.039095,0.035714
520,0.050361,0.045218,0.031792,0.032168,0.043882,0.037879,0.040724,0.026564,0.050489,0.045887,0.044867,0.033347
530,0.045706,0.043127,0.033393,0.03507,0.040415,0.03244,0.038443,0.027638,0.040143,0.043898,0.040394,0.03913
540,0.052054,0.048305,0.034733,0.032381,0.037772,0.035648,0.0376,0.02628,0.037934,0.042423,0.043367,0.036667
550,0.045308,0.055422,0.033425,0.02594,0.041383,0.035812,0.034811,0.025141,0.0501,0.045427,0.042614,0.04467
560,0.047812,0.046095,0.039612,0.033864,0.044365,0.035793,0.040252,0.028784,0.043791,0.049333,0.045854,0.040322
570,0.049148,0.053064,0.037104,0.028797,0.038924,0.032332,0.03697,0.029764,0.040054,0.047129,0.051769,0.05077
580,0.049061,0.04525,0.039822,0.034362,0.043296,0.035924,0.033751,0.031496,0.034506,0.03967,0.043149,0.054979
590,0.044228,0.046212,0.041796,0.037717,0.049609,0.03553,0.035932,0.027228,0.038571,0.03767,0.050689,0.048019
600,0.042006,0.052279,0.039863,0.028208,0.04344,0.035764,0.024271,0.030599,0.037269,0.044434,0.050968,0.042589
610,0.048005,0.042426,0.043047,0.035468,0.041225,0.045259,0.027795,0.031132,0.033811,0.04234,0.056495,0.045876
620,0.043181,0.046713,0.034428,0.031373,0.032117,0.045173,0.027797,0.02063,0.031034,0.04096,0.057385,0.050178
630,0.047362,0.044025,0.042952,0.035224,0.040529,0.036734,0.032539,0.039126,0.038691,0.039754,0.05565,0.053452
640,0.044223,0.045803,0.037855,0.02886,0.052031,0.036856,0.037198,0.028413,0.039577,0.033934,0.052795,0.051624
650,0.051899,0.039147,0.037669,0.038727,0.050439,0.035901,0.029559,0.036125,0.036039,0.038149,0.056778,0.056725
660,0.042713,0.042759,0.0386,0.032325,0.042362,0.037641,0.031378,0.025693,0.032963,0.03935,0.04858,0.042955
670,0.053103,0.039785,0.032557,0.025074,0.050042,0.040682,0.03662,0.040093,0.038363,0.037422,0.056199,0.047096
680,0.052749,0.042908,0.035497,0.031227,0.054592,0.039757,0.038758,0.03778,0.037979,0.035447,0.049135,0.045685
690,0.061415,0.044228,0.039175,0.023195,0.047891,0.041938,0.041507,0.044713,0.034534,0.037683,0.050865,0.049623
700,0.061821,0.042816,0.030973,0.032744,0.042703,0.037178,0.043388,0.040097,0.038094,0.041219,0.049392,0.050894
710,0.052878,0.050995,0.038473,0.033614,0.046802,0.040372,0.045574,0.037897,0.034058,0.04236,0.053233,0.044994
720,0.05815,0.046121,0.028148,0.027091,0.044873,0.03366,0.041067,0.039513,0.039955,0.043864,0.055954,0.041707
730,0.054713,0.051144,0.033909,0.028179,0.040916,0.030366,0.045367,0.036174,0.039185,0.038827,0.060087,0.03951
740,0.057406,0.043954,0.031295,0.03446,0.05045,0.035808,0.043722,0.041739,0.037465,0.044635,0.052631,0.053779
750,0.05827,0.054492,0.036996,0.033987,0.047767,0.030754,0.046649,0.0354,0.036576,0.045602,0.048506,0.040194
760,0.05892,0.057765,0.035076,0.034509,0.047599,0.033484,0.047848,0.034138,0.031049,0.038217,0.057965,0.048081
770,0.067564,0.050032,0.036806,0.026395,0.052686,0.033218,0.041973,0.035496,0.034193,0.035385,0.059634,0.045412
780,0.050595,0.053277,0.033149,0.037084,0.052904,0.031466,0.044159,0.038484,0.036949,0.033073,0.053942,0.053365
790,0.04996,0.054197,0.039157,0.036044,0.050623,0.029248,0.047014,0.038777,0.035609,0.032868,0.057549,0.050326
800,0.057958,0.048754,0.036513,0.037924,0.056456,0.031194,0.041933,0.044296,0.026984,0.041937,0.061158,0.053402
