timestamp,azimuth_cmd,azimuth_actual,azimuth_error,pitch_cmd,pitch_actual,pitch_error,azimuth_current,pitch_current,temperature,vibration,mtf,label
0.0,0.0,0.0,0.0,25.08597,25.08597,0.0,0.0,0.0,24.91,0.03548,0.3,degraded
0.01,0.40316,0.09652,0.30664,25.22086,25.02668,0.19419,2.9899,2.9962,25.18,0.01448,0.3,degraded
0.02,0.80624,0.18783,0.61841,25.35316,24.99306,0.3601,3.0042,2.9806,25.02,0.01444,0.3,degraded
0.03,1.20915,0.28331,0.92585,25.48286,24.98734,0.49552,2.9977,1.6116,25.07,0.0415,0.3,degraded
0.04,1.61183,0.44814,1.1637,25.60994,25.06697,0.54298,2.9878,3.0,25.01,0.02993,0.3,degraded
0.05,2.01419,0.64472,1.36947,25.73442,25.15182,0.5826,3.0104,2.995,24.67,0.00607,0.3,degraded
0.06,2.41615,0.90928,1.50687,25.85628,25.2291,0.62718,3.0106,2.9948,24.92,0.0058,0.3,degraded
0.07,2.81763,1.16071,1.65692,25.97552,25.31203,0.66349,3.0049,2.978,25.09,0.00455,0.3,degraded
0.08,3.21855,1.44738,1.77117,26.09213,25.39113,0.701,2.9982,2.9975,25.19,0.01094,0.3,degraded
0.09,3.61884,1.76697,1.85188,26.20612,25.47392,0.7322,2.9919,2.9973,24.9,0.00545,0.3,degraded
0.1,4.01841,2.0915,1.92691,26.31748,25.54719,0.77029,3.022,3.0,25.19,0.00346,0.3,degraded
0.11,4.41719,2.41755,1.99963,26.42622,25.62721,0.79901,2.9854,3.0,25.06,0.01152,0.3,degraded
0.12,4.81509,2.82188,1.99321,26.53233,25.69949,0.83284,2.9957,3.0,25.3,0.00883,0.3,degraded
0.13,5.21205,3.2373,1.97475,26.6358,25.7743,0.8615,3.0023,2.9788,25.29,0.00635,0.3,degraded
0.14,5.60797,3.62859,1.97938,26.73665,25.84134,0.89531,3.0199,2.9884,25.44,0.0048,0.3,degraded
0.15,6.0028,4.00727,1.99552,26.83487,25.91482,0.92005,3.0073,3.0,25.52,0.00697,0.3,degraded
0.16,6.39644,4.35972,2.03672,26.93046,26.0114,0.91907,3.0048,2.9839,25.46,0.00835,0.3,degraded
0.17,6.78882,4.7262,2.06262,27.02343,26.12049,0.90295,3.0097,3.0,25.55,0.00526,0.3,degraded
0.18,7.17987,5.11409,2.06578,27.11378,26.22019,0.8936,3.0068,3.0,25.4,0.0039,0.3,degraded
0.19,7.56951,5.49093,2.07859,27.20151,26.32178,0.87974,2.9889,2.9819,25.91,0.00635,0.3,degraded
0.2,7.95767,5.8416,2.11607,27.28663,26.41629,0.87033,3.0041,3.0,25.33,0.00715,0.3,degraded
0.21,8.34428,6.27111,2.07317,27.36913,26.51422,0.85491,3.032,2.9863,25.47,0.00636,0.3,degraded
0.22,8.72925,6.67792,2.05133,27.44903,26.60677,0.84226,3.0317,2.9976,25.72,0.00496,0.3,degraded
0.23,9.11253,7.07378,2.03874,27.52633,26.70217,0.82416,2.9914,3.0,25.73,0.00471,0.3,degraded
0.24,9.49402,7.44527,2.04876,27.60104,26.79402,0.80702,3.0105,3.0,25.72,0.00421,0.3,degraded
0.25,9.87368,7.80298,2.0707,27.67316,26.89281,0.78034,2.9917,3.0,25.78,0.00558,0.3,degraded
0.26,10.25142,8.19902,2.0524,27.74269,26.98349,0.75921,3.013,2.9953,25.39,0.00649,0.3,degraded
0.27,10.62717,8.60003,2.02714,27.80965,27.07926,0.73039,3.0042,3.0,25.98,0.00368,0.3,degraded
0.28,11.00087,8.97801,2.02286,27.87405,27.16681,0.70725,2.9994,2.9877,25.74,0.00475,0.3,degraded
