timestamp,azimuth_cmd,azimuth_actual,azimuth_error,pitch_cmd,pitch_actual,pitch_error,azimuth_current,pitch_current,temperature,vibration,mtf,label
0.0,0.0,0.0,0.0,25.08597,25.08597,0.0,0.0,0.0,24.91,0.04243,0.3,degraded
0.01,0.40316,-0.00557,0.40873,25.22086,25.05557,0.1653,2.9899,2.9962,25.22,0.01414,0.3,degraded
0.02,0.80624,0.05935,0.74688,25.35316,25.04435,0.30881,3.0042,2.9806,25.07,0.00845,0.3,degraded
0.03,1.20915,0.14679,1.06236,25.48286,25.04001,0.44285,2.9977,3.0,25.14,0.01251,0.3,degraded
0.04,1.61183,0.27246,1.33937,25.60994,25.03101,0.57894,3.0135,3.0,25.11,0.01031,0.3,degraded
0.05,2.01419,0.4394,1.57479,25.73442,25.0306,0.70381,2.8873,2.995,24.77,0.01791,0.3,degraded
0.06,2.41615,0.63633,1.77982,25.85628,25.05364,0.80264,3.0106,2.9948,25.08,0.02653,0.3,degraded
0.07,2.81763,0.86458,1.95305,25.97552,25.08552,0.89,3.0049,2.978,25.31,0.00983,0.3,degraded
0.08,3.21855,1.09321,2.12534,26.09213,25.11591,0.97622,2.9982,2.9975,25.46,0.00913,0.3,degraded
0.09,3.61884,1.3812,2.23764,26.20612,25.17435,1.03177,2.9919,2.9973,25.22,0.01377,0.3,degraded
0.1,4.01841,1.67873,2.33968,26.31748,25.23188,1.08561,3.022,3.0,25.59,0.00572,0.3,degraded
0.11,4.41719,2.00339,2.4138,26.42622,25.29616,1.13006,2.9854,3.0,25.52,0.00492,0.3,degraded
0.12,4.81509,2.29541,2.51968,26.53233,25.36972,1.1626,2.9957,3.0,25.82,0.00351,0.3,degraded
0.13,5.21205,2.63388,2.57817,26.6358,25.46315,1.17265,3.0023,2.9788,25.87,0.00453,0.3,degraded
0.14,5.60797,2.97963,2.62834,26.73665,25.54891,1.18774,3.0199,2.9884,26.08,0.00105,0.3,degraded
