timestamp,azimuth_cmd,azimuth_actual,azimuth_error,pitch_cmd,pitch_actual,pitch_error,azimuth_current,pitch_current,temperature,vibration,mtf,label
0.0,0.0,0.0,0.0,25.08597,25.08597,0.0,0.0,0.0,24.91,0.02892,0.3,normal
0.01,0.40316,0.09929,0.30387,25.22086,25.05881,0.16205,2.9899,2.9962,25.18,0.01493,0.3,normal
0.02,0.80624,0.19383,0.61241,25.35316,25.03199,0.32117,3.0042,2.9806,25.01,0.04648,0.3,normal
0.03,1.20915,0.40773,0.80142,25.48286,25.06245,0.42041,3.0178,3.0,25.06,0.04619,0.3,normal
0.04,1.61183,0.68685,0.92498,25.60994,25.10998,0.49997,2.9878,3.0,24.99,0.00299,0.3,normal
0.05,2.01419,0.96679,1.0474,25.73442,25.16277,0.57165,3.0104,2.995,24.63,0.00189,0.3,normal
0.06,2.41615,1.23433,1.18182,25.85628,25.20804,0.64824,3.0106,2.9948,24.86,0.00311,0.3,normal
0.07,2.81763,1.50232,1.31531,25.97552,25.27111,0.7044,3.0049,2.978,25.02,0.01039,0.3,normal
0.08,3.21855,1.78764,1.43092,26.09213,25.33801,0.75412,2.9982,2.6706,25.1,0.00663,0.3,normal
0.09,3.61884,2.09438,1.52446,26.20612,25.4299,0.77622,2.9919,2.9973,24.79,0.01513,0.3,normal
0.1,4.01841,2.5358,1.48261,26.31748,25.51222,0.80527,3.022,3.0,25.06,0.01834,0.3,normal
0.11,4.41719,2.97754,1.43965,26.42622,25.63049,0.79573,2.9854,3.0,24.91,0.00489,0.3,normal
0.12,4.81509,3.40647,1.40862,26.53233,25.74054,0.79178,2.9957,3.0,25.12,0.00233,0.3,normal
0.13,5.21205,3.83637,1.37568,26.6358,25.85069,0.78511,3.0023,2.9788,25.09,0.00374,0.3,normal
0.14,5.60797,4.2557,1.35228,26.73665,25.95298,0.78367,3.0199,2.9884,25.21,0.00211,0.3,normal
0.15,6.0028,4.67592,1.32687,26.83487,26.06161,0.77326,3.0073,3.0,25.27,0.00074,0.3,normal
0.16,6.39644,5.08338,1.31306,26.93046,26.16251,0.76796,3.0048,2.9839,25.19,0.00385,0.3,normal
0.17,6.78882,5.48902,1.2998,27.02343,26.26833,0.75511,3.0097,3.0,25.26,0.00226,0.3,normal
0.18,7.17987,5.88574,1.29413,27.11378,26.36471,0.74907,3.0068,3.0,25.09,0.0012,0.3,normal
0.19,7.56951,6.28499,1.28452,27.20151,26.46294,0.73858,2.9889,2.9819,25.57,0.00364,0.3,normal
0.2,7.95767,6.67159,1.28609,27.28663,26.55407,0.73256,3.0041,3.0,24.97,0.00241,0.3,normal
0.21,8.34428,7.05863,1.28565,27.36913,26.64858,0.72055,3.032,2.9863,25.08,0.00154,0.3,normal
0.22,8.72925,7.43667,1.29258,27.44903,26.73773,0.7113,3.0317,2.9976,25.31,0.00257,0.3,normal
0.23,9.11253,7.81741,1.29512,27.52633,26.836,0.69034,2.9914,3.0,25.29,0.00269,0.3,normal
0.24,9.49402,8.18739,1.30664,27.60104,26.93145,0.66959,3.0105,3.0,25.26,0.0015,0.3,normal
0.25,9.87368,8.55714,1.31654,27.67316,27.03387,0.63929,2.9917,3.0,25.3,0.00245,0.3,normal
0.26,10.25142,8.91707,1.33435,27.74269,27.12813,0.61456,3.013,2.9953,24.89,0.00278,0.3,normal
0.27,10.62717,9.28022,1.34695,27.80965,27.22747,0.58218,3.0042,3.0,25.45,0.00095,0.3,normal
0.28,11.00087,9.63401,1.36686,27.87405,27.31854,0.55552,2.9994,2.9877,25.19,0.00202,0.3,normal
0.29,11.37245,9.98927,1.38318,27.93589,27.41776,0.51814,3.0039,3.0,25.42,0.00277,0.3,normal
0.3,11.74183,10.33521,1.40663,27.99519,27.50717,0.48801,2.9968,2.9937,24.93,0.00152,0.3,normal
0.31,12.10896,10.68171,1.42726,28.05194,27.60433,0.4476,2.9936,2.9888,25.28,0.00263,0.3,normal
0.32,12.47378,11.01502,1.45875,28.10616,27.69633,0.40983,3.0253,3.0,25.17,0.00319,0.3,normal
0.33,12.8362,11.35085,1.48535,28.15787,27.79348,0.3644,3.0027,3.0,25.35,0.00109,0.3,normal
0.34,13.19618,11.67535,1.52083,28.20707,27.88283,0.32424,2.9917,2.988,25.32,0.00198,0.3,normal
0.35,13.55364,12.00192,1.55172,28.25378,27.97836,0.27541,3.0,2.9864,25.33,0.003,0.3,normal
0.36,13.90854,12.31804,1.5905,28.298,28.06608,0.23192,2.9932,3.0,25.13,0.00152,0.3,normal
0.37,14.2608,12.63604,1.62475,28.33975,28.15951,0.18024,3.0236,2.9911,25.28,0.00545,0.3,normal
0.38,14.61036,12.97508,1.63528,28.37904,28.2461,0.13294,3.0022,3.0,25.27,0.00523,0.3,normal
0.39,14.95718,13.33329,1.62389,28.41589,28.34054,0.07535,2.9953,2.9871,25.38,0.00201,0.3,normal
0.4,15.30118,13.67704,1.62415,28.45031,28.43065,0.01966,3.0038,2.9913,25.46,0.00217,0.3,normal
0.41,15.64233,14.02193,1.6204,28.48231,28.52973,-0.04742,2.9986,2.9943,25.35,0.00301,0.3,normal
0.42,15.98055,14.35494,1.62561,28.51191,28.62327,-0.11136,3.0134,2.9951,25.14,0.0018,0.3,normal
0.43,16.3158,14.68815,1.62766,28.53912,28.72258,-0.18346,3.0225,2.9966,25.36,0.01038,0.3,normal
0.44,16.64803,15.01592,1.63211,28.56396,28.73738,-0.17342,2.9804,2.9817,25.74,0.01202,0.3,normal
0.45,16.97718,15.35761,1.61957,28.58644,28.74173,-0.15529,3.0073,3.0,25.6,0.00356,0.3,normal
0.46,17.3032,15.69317,1.61003,28.60659,28.74005,-0.13346,2.9774,2.9968,24.92,0.00203,0.3,normal
0.47,17.62605,16.0473,1.57875,28.62442,28.744,-0.11958,2.9967,3.0,25.38,0.00309,0.3,normal
0.48,17.94567,16.39045,1.55522,28.63994,28.74047,-0.10053,2.9992,2.9964,25.52,0.00227,0.3,normal
0.49,18.26202,16.73498,1.52704,28.65318,28.74271,-0.08953,3.0218,2.9853,25.37,0.00107,0.3,normal
0.5,18.57506,17.06634,1.50872,28.66414,28.73797,-0.07383,3.0102,2.9946,25.33,0.00296,0.3,normal
0.51,18.88474,17.40037,1.48437,28.67286,28.73852,-0.06566,3.0151,3.0,25.37,0.00205,0.3,normal
0.52,19.19102,17.72521,1.46581,28.67935,28.73368,-0.05433,2.9755,3.0,25.5,0.00135,0.3,normal
0.53,19.49386,18.0517,1.44216,28.68362,28.73253,-0.0489,2.9996,3.0,25.25,0.00239,0.3,normal
0.54,19.79322,18.36745,1.42576,28.68571,28.7282,-0.0425,3.0166,2.9941,25.61,0.00259,0.3,normal
0.55,20.08905,18.68647,1.40258,28.68562,28.73159,-0.04597,3.0221,2.9922,25.44,0.0011,0.3,normal
0.56,20.38134,18.99745,1.38388,28.68338,28.73174,-0.04836,3.0147,3.0,25.31,0.00234,0.3,normal
0.57,20.67003,19.31352,1.3565,28.67901,28.74006,-0.06106,3.0241,3.0,25.63,0.00275,0.3,normal
0.58,20.95509,19.61776,1.33733,28.67253,28.74059,-0.06806,3.0101,3.0,25.24,0.00166,0.3,normal
0.59,21.2365,19.92267,1.31383,28.66396,28.74687,-0.08291,2.9934,3.0,25.39,0.00255,0.3,normal
0.6,21.51422,20.21734,1.29688,28.65332,28.74711,-0.09378,3.0158,2.9953,25.4,0.00327,0.3,normal
0.61,21.78822,20.5112,1.27702,28.64064,28.75119,-0.11055,3.0007,2.9765,25.82,0.00202,0.3,normal
0.62,22.05847,20.79038,1.26809,28.62594,28.74735,-0.12141,2.9988,2.9997,25.4,0.00266,0.3,normal
0.63,22.32495,21.07052,1.25443,28.60924,28.74932,-0.14009,2.9886,2.9762,25.19,0.00299,0.3,normal
0.64,22.58763,21.34591,1.24172,28.59056,28.74775,-0.15719,2.995,3.0,25.43,0.00149,0.3,normal
0.65,22.84649,21.63219,1.2143,28.56993,28.75396,-0.18403,3.006,2.9877,25.59,0.00256,0.3,normal
0.66,23.1015,21.90849,1.19302,28.54737,28.75642,-0.20905,2.997,3.0,25.65,0.00372,0.3,normal
0.67,23.35265,22.18422,1.16844,28.5229,28.76321,-0.24031,3.0009,2.9789,25.88,0.00231,0.3,normal
0.68,23.59992,22.44768,1.15224,28.49655,28.76015,-0.2636,3.0103,3.0,25.76,0.0029,0.3,normal
0.69,23.84329,22.71059,1.13269,28.46834,28.76429,-0.29595,2.991,3.0,25.58,0.00398,0.3,normal
0.7,24.08273,22.96054,1.12219,28.4383,28.76076,-0.32246,3.0082,3.0,25.43,0.00104,0.3,normal
0.71,24.31825,23.21557,1.10268,28.40645,28.76448,-0.35804,2.9839,2.9863,25.81,0.00134,0.3,normal
0.72,24.54982,23.45999,1.08982,28.37281,28.76177,-0.38896,3.0105,3.0,25.52,0.00339,0.3,normal
0.73,24.77743,23.70481,1.07263,28.33742,28.76543,-0.42801,2.99,2.9833,25.49,0.00299,0.3,normal
0.74,25.00108,23.97159,1.02949,28.30029,28.7593,-0.45901,2.9836,3.0,25.53,0.01397,0.3,normal
0.75,25.22075,24.23681,0.98395,28.26146,28.67249,-0.41103,2.9843,3.0,25.41,0.0135,0.3,normal
0.76,25.43645,24.49214,0.9443,28.22094,28.55885,-0.33791,2.9952,2.9662,25.54,0.00194,0.3,normal
0.77,25.64815,24.74959,0.89856,28.17877,28.45693,-0.27816,2.9993,2.9699,25.58,0.00281,0.3,normal
0.78,25.85587,24.99233,0.86354,28.13497,28.35152,-0.21655,2.9913,3.0,25.74,0.00447,0.3,normal
0.79,26.05959,25.23369,0.82591,28.08957,28.25493,-0.16536,3.0132,3.0,25.58,0.00227,0.3,normal
0.8,26.25932,25.46398,0.79534,28.04259,28.15298,-0.11039,3.0166,3.0,25.45,0.00129,0.3,normal
0.81,26.45506,25.69645,0.75861,27.99406,28.05879,-0.06474,3.0141,2.9974,25.41,0.00286,0.3,normal
0.82,26.64681,25.91903,0.72779,27.944,27.95767,-0.01366,2.9902,2.9964,25.69,0.00362,0.3,normal
0.83,26.83458,26.14317,0.69141,27.89245,27.87418,0.01827,3.0065,2.9806,25.68,0.00327,0.3,normal
0.84,27.01837,26.3565,0.66187,27.83943,27.79026,0.04917,2.9877,2.9972,25.59,0.0036,0.3,normal
0.85,27.19818,26.57438,0.6238,27.78496,27.71701,0.06795,2.9915,2.9953,25.61,0.00369,0.3,normal
0.86,27.37403,26.78024,0.59379,27.72909,27.64508,0.08401,2.9916,2.9898,25.75,0.00219,0.3,normal
0.87,27.54593,26.98733,0.55859,27.67182,27.58371,0.08811,2.981,3.0,25.91,0.00326,0.3,normal
0.88,27.71388,27.18525,0.52863,27.61319,27.52039,0.0928,2.9898,3.0,25.59,0.00255,0.3,normal
0.89,27.87791,27.38533,0.49258,27.55323,27.46415,0.08908,2.968,3.0,25.73,0.00152,0.3,normal
0.9,28.03802,27.57378,0.46425,27.49196,27.40701,0.08495,3.0137,2.9926,25.86,0.00353,0.3,normal
0.91,28.19424,27.76237,0.43187,27.42941,27.35806,0.07135,2.993,3.0,25.61,0.00348,0.3,normal
0.92,28.34658,27.93975,0.40683,27.36561,27.30032,0.06529,2.9975,2.9918,25.73,0.00084,0.3,normal
0.93,28.49505,28.11828,0.37677,27.30059,27.24814,0.05245,3.0256,2.9932,25.74,0.00251,0.3,normal
0.94,28.63969,28.28946,0.35023,27.23437,27.19001,0.04436,3.0143,3.0,25.55,0.00234,0.3,normal
0.95,28.78051,28.46319,0.31732,27.16699,27.13993,0.02706,2.997,3.0,25.78,0.00098,0.3,normal
0.96,28.91753,28.6258,0.29173,27.09846,27.08194,0.01652,3.0076,2.9972,25.77,0.0021,0.3,normal
0.97,29.05079,28.79026,0.26052,27.02882,27.02894,-0.00012,3.0097,2.9999,25.85,0.00311,0.3,normal
0.98,29.1803,28.94572,0.23458,26.9581,26.96772,-0.00962,2.9953,2.9972,25.6,0.0018,0.3,normal
0.99,29.30609,29.10422,0.20188,26.88632,26.916,-0.02968,3.0049,3.0,25.78,0.00707,0.3,normal
1.0,29.4282,29.2091,0.2191,26.81351,26.86011,-0.04661,3.0104,3.0,25.99,0.00772,0.3,normal
1.01,29.54666,29.31201,0.23464,26.73969,26.81031,-0.07062,2.9835,2.9933,26.1,0.00149,0.3,normal
1.02,29.66149,29.40602,0.25546,26.6649,26.75474,-0.08984,3.0191,2.9954,25.99,0.00123,0.3,normal
1.03,29.77273,29.50532,0.26741,26.58917,26.70335,-0.11418,3.0085,3.0,25.63,0.0029,0.3,normal
1.04,29.88041,29.59468,0.28572,26.51251,26.64194,-0.12943,2.9813,2.9989,25.88,0.00127,0.3,normal
1.05,29.98457,29.68744,0.29713,26.43496,26.58847,-0.15351,2.9759,2.9889,25.74,0.001,0.3,normal
1.06,30.08525,29.77295,0.3123,26.35654,26.53129,-0.17474,3.0258,2.9831,25.86,0.00244,0.3,normal
1.07,30.18248,29.86643,0.31605,26.27729,26.48299,-0.2057,2.98,3.0,25.71,0.00147,0.3,normal
1.08,30.27631,29.95147,0.32484,26.19722,26.42822,-0.231,2.9929,3.0,25.58,0.00085,0.3,normal
1.09,30.36677,30.03993,0.32685,26.11637,26.37763,-0.26126,3.0042,2.9772,25.79,0.00265,0.3,normal
1.1,30.45392,30.1214,0.33251,26.03476,26.32137,-0.28661,3.0073,2.9767,25.95,0.00122,0.3,normal
1.11,30.53778,30.20754,0.33023,25.95242,26.27144,-0.31902,2.9975,2.9721,25.89,0.00069,0.3,normal
1.12,30.6184,30.28818,0.33022,25.86938,26.21712,-0.34775,2.9949,3.0,25.92,0.00273,0.3,normal
1.13,30.69584,30.37685,0.31899,25.78565,26.16902,-0.38337,3.0051,3.0,25.89,0.00201,0.3,normal
1.14,30.77013,30.45894,0.31118,25.70128,26.10972,-0.40845,3.0007,2.9933,25.93,0.00138,0.3,normal
1.15,30.84133,30.54479,0.29654,25.61627,26.05505,-0.43878,2.9996,3.0,25.95,0.00321,0.3,normal
1.16,30.90948,30.619,0.29048,25.53067,25.99402,-0.46335,3.0059,3.0,25.84,0.00258,0.3,normal
1.17,30.97463,30.69629,0.27834,25.44449,25.94086,-0.49636,3.0117,2.996,25.89,0.00089,0.3,normal
1.18,31.03683,30.76451,0.27233,25.35776,25.88282,-0.52506,3.0263,2.9975,26.15,0.00188,0.3,normal
1.19,31.09615,30.84086,0.25529,25.27051,25.83064,-0.56012,2.9978,3.0,25.91,0.0026,0.3,normal
1.2,31.15262,30.91361,0.23901,25.18276,25.76923,-0.58646,2.9986,3.0,25.9,0.0007,0.3,normal
1.21,31.2063,30.99407,0.21223,25.09454,25.71306,-0.61852,2.9947,3.0,25.92,0.00209,0.3,normal
1.22,31.25725,31.06828,0.18897,25.00587,25.65113,-0.64526,2.9793,3.0,25.88,0.00161,0.3,normal
1.23,31.30552,31.14965,0.15588,24.91677,25.59617,-0.6794,2.9916,2.9958,25.85,0.0005,0.3,normal
1.24,31.35118,31.2257,0.12548,24.82727,25.53629,-0.70902,2.9947,3.0,25.95,0.002,0.3,normal
1.25,31.39426,31.30406,0.09021,24.7374,25.48113,-0.74373,2.9752,2.99,25.85,0.00233,0.3,normal
1.26,31.43485,31.37361,0.06124,24.64717,25.41896,-0.77179,2.9907,3.0,25.91,0.0003,0.3,normal
1.27,31.47298,31.44987,0.02311,24.55661,25.36166,-0.80505,2.9919,3.0,25.82,0.00173,0.3,normal
1.28,31.50873,31.519,-0.01026,24.46575,25.29544,-0.82969,3.0018,3.0,25.96,0.00852,0.3,normal
1.29,31.54215,31.55867,-0.01652,24.3746,25.23492,-0.86032,3.0094,2.9983,26.03,0.00979,0.3,normal
1.3,31.57331,31.5602,0.01311,24.28319,25.1607,-0.87751,3.0115,2.9941,25.92,0.00492,0.3,normal
1.31,31.60226,31.56713,0.03514,24.19155,25.06156,-0.87001,3.0175,3.0,25.65,0.00239,0.3,normal
1.32,31.62908,31.56756,0.06152,24.09968,24.95759,-0.85791,3.0135,3.0,26.05,0.00082,0.3,normal
1.33,31.65381,31.57511,0.0787,24.00762,24.86208,-0.85445,2.9878,3.0,25.98,0.00116,0.3,normal
1.34,31.67653,31.57577,0.10076,23.91539,24.76096,-0.84556,2.975,3.0,25.82,0.00271,0.3,normal
1.35,31.6973,31.57933,0.11797,23.82301,24.66679,-0.84378,3.0186,2.9981,26.09,0.00042,0.3,normal
1.36,31.71618,31.57626,0.13993,23.7305,24.56897,-0.83847,2.9986,3.0,25.77,0.0013,0.3,normal
1.37,31.73324,31.57994,0.15331,23.63787,24.47865,-0.84078,2.9978,2.9948,26.14,0.00209,0.3,normal
1.38,31.74855,31.57902,0.16953,23.54516,24.38205,-0.83689,2.9844,2.9999,25.98,0.00065,0.3,normal
1.39,31.76217,31.58554,0.17663,23.45237,24.2919,-0.83953,3.0077,2.989,25.65,0.00154,0.3,normal
1.4,31.77417,31.58867,0.1855,23.35954,24.19228,-0.83274,3.0062,2.9881,26.03,0.00357,0.3,normal
