timestamp,azimuth_cmd,azimuth_actual,azimuth_error,pitch_cmd,pitch_actual,pitch_error,azimuth_current,pitch_current,temperature,vibration,mtf,label
0.0,0.0,0.0,0.0,25.08597,25.08597,0.0,0.0,0.0,24.91,0.01735,0.3,degraded
0.01,0.40316,-0.00958,0.41274,25.22086,25.1155,0.10537,2.5458,2.9962,25.22,0.00838,0.3,degraded
0.02,0.80624,0.01053,0.7957,25.35316,25.15205,0.20111,3.0042,2.9806,25.07,0.0113,0.3,degraded
0.03,1.20915,0.0829,1.12625,25.48286,25.19501,0.28784,0.5271,3.0,25.17,0.01613,0.3,degraded
0.04,1.61183,0.18758,1.42425,25.60994,25.23253,0.37742,2.9878,3.0,25.17,0.01104,0.3,degraded
0.05,2.01419,0.323,1.69119,25.73442,25.27591,0.45851,3.0104,2.995,24.9,0.0031,0.3,degraded
0.06,2.41615,0.47449,1.94166,25.85628,25.31221,0.54406,3.0106,2.9948,25.23,0.00615,0.3,degraded
0.07,2.81763,0.65827,2.15936,25.97552,25.35432,0.62119,3.0049,2.978,25.51,0.00753,0.3,degraded
0.08,3.21855,0.84971,2.36885,26.09213,25.39159,0.70054,0.1347,2.9975,25.71,0.00594,0.3,degraded
0.09,3.61884,1.07715,2.54169,26.20612,25.43369,0.77243,2.989,2.9973,25.48,0.00176,0.3,degraded
0.1,4.01841,1.31392,2.70449,26.31748,25.46756,0.84992,2.9956,3.0,25.85,0.01059,0.3,degraded
0.11,4.41719,1.55588,2.86131,26.42622,25.50819,0.91803,1.3645,3.0,25.82,0.0007,0.3,degraded
0.12,4.81509,1.8056,3.0095,26.53233,25.54155,0.99078,3.0006,3.0,26.14,0.00539,0.3,degraded
0.13,5.21205,2.08291,3.12914,26.6358,25.57933,1.05647,0.034,2.9788,26.26,0.01701,0.3,degraded
0.14,5.60797,2.36916,3.23882,26.73665,25.61256,1.12409,0.6072,2.9301,26.55,0.0087,0.3,degraded
0.15,6.0028,2.67981,3.32299,26.83487,25.65809,1.17678,3.0073,2.9835,26.79,0.00499,0.3,degraded
0.16,6.39644,2.97155,3.42489,26.93046,25.70279,1.22768,2.9866,2.8182,26.84,0.01027,0.3,degraded
0.17,6.78882,3.28951,3.49931,27.02343,25.76051,1.26293,3.0097,2.9572,27.11,0.00168,0.3,degraded
0.18,7.17987,3.59318,3.58669,27.11378,25.81471,1.29908,2.7588,2.8705,27.06,0.01294,0.3,degraded
0.19,7.56951,3.92562,3.6439,27.20151,25.87855,1.32296,3.0184,2.9819,27.67,0.00767,0.3,degraded
0.2,7.95767,4.25856,3.69911,27.28663,25.93898,1.34765,3.0042,3.0,27.21,0.01784,0.3,degraded
0.21,8.34428,4.59811,3.74617,27.36913,26.00768,1.36145,2.566,2.9738,27.53,0.01712,0.3,degraded
