original,generated
78.52901,84.58815
78.610535,84.58807
78.69088,84.477585
78.770065,82.04494
78.8481,84.58815
78.92501,84.58278
79.0008,84.58799
79.07549,84.58367
79.14911,84.583466
79.22166,83.10776
79.29315,84.3885
79.36361,84.57566
79.433044,84.41776
79.50148,84.33575
79.56892,84.58814
79.63538,82.2183
79.70088,84.58814
79.765434,84.58815
79.82905,84.581726
79.89175,84.58806
79.95353,84.5881
80.01443,84.58815
80.07443,84.58496
80.133575,84.58813
80.19186,84.58805
80.2493,84.58745
80.3059,84.582634
80.36169,84.415855
80.416664,83.37279
80.47085,84.587906
80.52425,84.58272
80.576866,84.58806
80.62873,84.58595
80.67984,84.58812
80.73021,84.58815
80.77985,84.588135
80.828766,84.564476
80.87698,84.54001
80.92449,84.4125
80.97132,84.00932
81.01746,84.428986
81.06294,84.58815
81.107765,84.07368
81.15193,84.40884
81.19546,84.58055
81.23836,84.46247
81.28064,84.51996
81.3223,83.654106
81.363365,84.5847
81.40383,84.58815
81.44371,82.63235
81.48302,83.39045
81.52174,84.55766
81.55992,84.57207
81.597534,84.44847
81.63461,84.50419
81.67115,84.438225
81.70715,84.58745
81.742645,81.43797
81.77761,84.58815
81.81208,83.63476
81.84605,84.58815
81.87952,84.58807
81.912506,84.16938
81.945015,84.58767
81.97706,84.58815
82.00864,84.54899
82.03975,84.40089
82.07042,84.57768
82.10064,84.58746
82.130424,83.18343
82.15978,84.58815
82.18871,82.735374
82.21722,84.48386
82.245316,83.56606
82.273,84.58707
82.30029,84.588104
82.32719,82.52418
82.35369,84.58779
82.37981,84.56631
82.40555,84.26352
82.430916,84.58815
82.45592,84.56389
82.48055,84.58814
82.50484,84.588036
82.52877,84.58814
82.55235,83.34881
82.57559,84.58679
82.598495,84.48179
82.62107,83.756645
82.64331,84.52341
82.66524,84.56109
82.686844,84.588104
82.70814,84.58712
82.72912,84.58812
82.7498,84.58728
82.77018,84.489395
82.79027,84.58814
82.81006,84.55509
82.82957,84.58815
