Model: gan_vae | Dataset: degradation | Device: cuda
Output: /home/ze.qian/workspace/aug_diagnosis/outputs/data_aug/degradation/gan_vae/gan_vae_degradation_5feat_netd_v6_20260528_144417

=== Training ===

--- VAE-GAN class: normal (29 windows) ---
Epoch [ 10/250] | D_loss: 0.677504 | G_loss: 3.754297 | Recon: 0.282160 | MeanMatch: 1.400104 | RandMeanMatch: 1.405627 | KL: 7.929851
Epoch [ 20/250] | D_loss: 0.655978 | G_loss: 3.703871 | Recon: 0.270268 | MeanMatch: 1.347700 | RandMeanMatch: 1.396124 | KL: 10.042374
Epoch [ 30/250] | D_loss: 0.625833 | G_loss: 2.721977 | Recon: 0.192131 | MeanMatch: 0.873106 | RandMeanMatch: 0.926136 | KL: 13.767839
Epoch [ 40/250] | D_loss: 0.578033 | G_loss: 3.438456 | Recon: 0.234110 | MeanMatch: 1.117594 | RandMeanMatch: 1.282788 | KL: 24.810955
Epoch [ 50/250] | D_loss: 0.515634 | G_loss: 3.539141 | Recon: 0.225494 | MeanMatch: 1.060398 | RandMeanMatch: 1.345692 | KL: 49.872574
Epoch [ 60/250] | D_loss: 0.446268 | G_loss: 3.152682 | Recon: 0.175857 | MeanMatch: 0.717263 | RandMeanMatch: 1.203390 | KL: 93.650192
Epoch [ 70/250] | D_loss: 0.434634 | G_loss: 3.389528 | Recon: 0.159639 | MeanMatch: 0.581584 | RandMeanMatch: 1.431369 | KL: 179.319885
Epoch [ 80/250] | D_loss: 0.500882 | G_loss: 2.989993 | Recon: 0.128714 | MeanMatch: 0.318660 | RandMeanMatch: 1.311729 | KL: 296.945679
Epoch [ 90/250] | D_loss: 0.602420 | G_loss: 2.510667 | Recon: 0.110768 | MeanMatch: 0.114067 | RandMeanMatch: 1.191412 | KL: 390.389343
Epoch [100/250] | D_loss: 0.726328 | G_loss: 2.589911 | Recon: 0.112567 | MeanMatch: 0.039716 | RandMeanMatch: 1.357482 | KL: 488.542847
Epoch [110/250] | D_loss: 0.720699 | G_loss: 2.653319 | Recon: 0.142410 | MeanMatch: 0.127007 | RandMeanMatch: 1.090380 | KL: 556.016846
Epoch [120/250] | D_loss: 0.666277 | G_loss: 2.585943 | Recon: 0.153495 | MeanMatch: 0.096738 | RandMeanMatch: 1.241904 | KL: 578.696899
Epoch [130/250] | D_loss: 0.581120 | G_loss: 2.765992 | Recon: 0.146553 | MeanMatch: 0.123287 | RandMeanMatch: 1.318932 | KL: 543.197876
Epoch [140/250] | D_loss: 0.431775 | G_loss: 2.902985 | Recon: 0.139086 | MeanMatch: 0.089983 | RandMeanMatch: 1.416766 | KL: 506.036957
Epoch [150/250] | D_loss: 0.435697 | G_loss: 2.633254 | Recon: 0.135223 | MeanMatch: 0.123232 | RandMeanMatch: 1.164510 | KL: 444.368286
Epoch [160/250] | D_loss: 0.430183 | G_loss: 2.869051 | Recon: 0.118981 | MeanMatch: 0.078508 | RandMeanMatch: 1.529208 | KL: 391.865936
Epoch [170/250] | D_loss: 0.449093 | G_loss: 2.455998 | Recon: 0.106927 | MeanMatch: 0.070175 | RandMeanMatch: 1.162515 | KL: 331.907318
