unit,cycle,day,fault_mode,severity_level,avg_detectivity,NETD_mK,SiTF,signal_gain,read_noise_index,label
IRCLT-0001,1,0,normal,normal,21077594857.44564,14.08689467061938,0.9804512177762033,0.9804512177762033,1.0037701248009223,normal
IRCLT-0001,2,3,normal,normal,21517987100.313347,14.811089480406588,1.003797563295696,1.003797563295696,0.9993098607979116,normal
IRCLT-0001,3,6,normal,normal,19600906679.72156,15.227934880765655,0.9795204878339462,0.9795204878339462,1.0116583490205828,normal
IRCLT-0001,4,9,normal,normal,22011332490.58261,15.082853696604648,0.9971986293218706,0.9971986293218706,0.995240839480014,normal
IRCLT-0001,5,12,normal,normal,21434091305.20196,13.777486240549228,1.0030596019668037,1.0030596019668037,0.9873645739415609,normal
IRCLT-0001,6,13,normal,normal,21074081037.959003,14.621429461677169,1.0104503599992631,1.0104503599992631,0.9922022894963616,normal
IRCLT-0001,7,18,normal,normal,19202952035.47479,14.308297385799122,0.9936140172981068,0.9936140172981068,1.0072545638274413,normal
IRCLT-0001,8,19,normal,normal,19634801226.96426,15.093779539623757,0.9761125273843446,0.9761125273843446,0.9950338870898572,normal
IRCLT-0001,9,20,normal,normal,20039851542.84629,13.731197931500136,1.002420436843358,1.002420436843358,0.9895777005447028,normal
IRCLT-0001,10,22,normal,normal,20256148773.6338,14.296475456469564,1.002006391422529,1.002006391422529,0.994315697073642,normal
IRCLT-0001,11,25,normal,normal,21620275942.53468,13.997872250050142,0.9883939639566862,0.9883939639566862,0.9998825810056496,normal
IRCLT-0001,12,30,normal,normal,20018034133.91586,14.853252073302622,0.996573222318516,0.996573222318516,1.009197101307966,normal
IRCLT-0001,13,32,normal,normal,20211078242.033268,14.34254866767142,0.9657461232458254,0.9657461232458254,1.0106790270856558,normal
IRCLT-0001,14,33,normal,normal,20526237605.074112,14.062299206060352,0.9986491123745992,0.9986491123745992,1.001336502594418,normal
IRCLT-0001,15,38,normal,normal,20853904019.33313,14.280276858963752,0.9664011303762232,0.9664011303762232,1.006011786525951,normal
IRCLT-0001,16,40,normal,normal,21643095362.8571,13.706854196671989,0.9898783745635912,0.9898783745635912,0.9965994552551902,normal
IRCLT-0001,17,41,normal,normal,17915616275.402405,14.22191419289006,0.9746072595603936,0.9746072595603936,1.0131518615246244,normal
IRCLT-0001,18,46,normal,normal,19095789939.907696,15.167077901212028,0.9565812139065836,0.9565812139065836,1.0221381654167137,normal
IRCLT-0001,19,51,normal,normal,19092028766.157627,13.774988692503406,0.9996019380822492,0.9996019380822492,0.9946346560074254,normal
IRCLT-0001,20,52,normal,normal,20086563033.909622,15.162256902631167,1.000183914494097,1.000183914494097,0.9877864749169858,normal
IRCLT-0001,21,56,normal,normal,20480773605.096924,14.460381392180484,1.0256891683415343,1.0256891683415343,0.9851361765115064,normal
