hours,group_01,group_02,group_03,group_04,group_05,group_06,group_07,group_08,group_09,group_10,group_11,group_12
0,0.030993,0.028531,0.028928,0.026608,0.021243,0.026899,0.020128,0.024036000000000002,0.027177,0.044329,0.042693,0.047527999999999994
10,0.026568,0.026639,0.030532,0.032817,0.028832999999999998,0.029745999999999998,0.018878,0.022852,0.031127,0.029492,0.041479,0.042091
20,0.032046,0.03241,0.028832999999999998,0.025072,0.028363,0.025644999999999998,0.017554,0.026810000000000004,0.031219,0.033355,0.039064999999999996,0.04785
30,0.035579,0.028816,0.031248,0.029338999999999997,0.030086,0.023596000000000002,0.015835,0.028600999999999998,0.029267,0.039758,0.041381,0.050581
40,0.034864,0.025655,0.022594,0.036097000000000004,0.031313,0.03057,0.013318,0.032878,0.031866000000000005,0.033753,0.040277,0.047768
50,0.035187,0.032142000000000004,0.028581,0.037076,0.032266,0.029867,0.017814,0.035294,0.032194,0.03845,0.032788,0.051162
60,0.033773000000000004,0.035688,0.025107,0.03195,0.037864999999999996,0.024383000000000002,0.021349,0.042326,0.033012,0.038423,0.039869,0.050692
70,0.038668,0.036122,0.022603,0.038561,0.028415,0.023295,0.020759,0.027448,0.028624,0.039346,0.040205,0.042065
80,0.043135,0.034499,0.021993000000000002,0.037018999999999996,0.031957,0.024281999999999998,0.027906999999999998,0.025584,0.031947,0.037078,0.038465,0.049518
90,0.040063,0.037739999999999996,0.020261,0.029552,0.02962,0.024637,0.027469999999999998,0.02945,0.035752,0.036701,0.032496,0.040454000000000004
100,0.041453,0.034049,0.022401,0.031526,0.032846,0.022756000000000002,0.027620999999999996,0.030493,0.034976,0.047136000000000004,0.039639999999999995,0.043739
110,0.041536000000000003,0.036772000000000006,0.019599000000000002,0.035701,0.038581,0.01905,0.024594,0.033282,0.035098000000000004,0.037614999999999996,0.034834,0.04156
120,0.041306999999999996,0.044743,0.021928,0.032876999999999997,0.037343,0.020221,0.027389,0.034394,0.033583,0.036988,0.040152999999999994,0.037471
130,0.044747,0.042038,0.019641,0.034709,0.0324,0.018948,0.029766,0.032892000000000005,0.039686,0.033833999999999996,0.041168,0.044236000000000004
140,0.047766,0.045474,0.023180000000000003,0.031157999999999998,0.032833,0.019899,0.027844,0.029144,0.0394,0.039332,0.043393,0.039439
150,0.04633,0.045881,0.021783,0.039753,0.033167,0.020319,0.030206,0.024584,0.035995,0.040382999999999995,0.038511000000000004,0.042687
160,0.040973,0.047563,0.017708,0.030304,0.039056,0.019441,0.025932,0.025537999999999998,0.035106,0.033798,0.044282999999999996,0.044201
